Gene	31	32	12
CPHL1P	0.991973	0.992459	0.987089
ITGA8	0.977018	0.392686	0.556074
ARTN	0.952669	0.960413	0.967994
ART4	0.96217	0.989552	0.968463
STAU2-AS1	0.964358	0.974258	0.976218
MSL3P1	0.981679	0.993267	0.978804
RNF182	0.973472	0.989192	0.994372
B3GAT1	0.934303	0.981846	0.96034
GSDMC	0.957441	0.959122	0.954701
DLGAP5	0.956619	0.973377	0.956498
OIP5	0.979236	0.970453	0.956385
MZB1	0.980873	0.98594	0.985426
MSMB	0.96217	0.236707	0.663745
SOX21	0.970401	0.951073	0.971225
HOXA10	0.955732	0.989552	0.976692
GCNT3	0.974545	0.989552	0.985306
CCDC173	0.96217	0.46659	0.962741
PDK4	0.994338	0.988633	0.976026
IGHV1-2	0.548957	0.981846	0.938395
BHLHA15	0.992432	0.992807	0.997036
IGHV4-4	0.990075	0.95702	0.983423
MB	0.994058	0.974755	0.969695
SLC17A9	0.971718	0.956349	0.938395
CYP4A22-AS1	0.984454	0.994405	0.9666
SYT2	0.965819	0.066761	0.083963
SYT5	0.520151	0.969117	0.508401
SYT6	0.997405	0.985933	0.938395
SYT7	0.975925	0.956952	0.988354
IGKV1-12	0.98231	0.255226	0.448101
IGKV1-16	0.09724	0.56864	0.409129
IGKV1-17	0.989327	0.74834	0.926883
BRIP1	0.977711	0.524163	0.647682
ENO3	0.991556	0.489603	0.972618
SNORD94	0.998043	0.998203	0.981635
CNGB1	0.955243	0.999561	0.994262
NKAIN4	0.520151	0.489603	0.980811
NKAIN3	0.984331	0.964711	0.993986
NKAIN1	0.952142	0.963017	0.953337
VGF	0.983551	0.489603	0.448101
WNT3	0.957998	0.986243	0.992595
PACRG	0.425855	0.976546	0.663745
IGHV5-78	0.980446	0.951872	0.984892
KCP	0.987334	0.999824	0.984802
ADAM12	0.982692	0.779846	0.916835
PCSK1	0.425855	0.970657	0.409129
CCNA2	0.99306	0.962826	0.981054
SKA1	0.983958	0.981846	0.508401
SKA3	0.972987	0.955871	0.95845
SVEP1	0.760481	0.762524	0.958003
PHACTR1	0.682811	0.255226	0.972618
ARHGAP40	0.982706	0.951966	0.957473
TNNT1	0.520151	0.985086	0.969874
TESC	0.986032	0.99334	0.972618
AOC3	0.934303	0.981846	0.96802
IGLV1-36	0.964156	0.991371	0.990311
ESPNP	0.977573	0.997837	0.991658
KCNA4	0.563766	0.950424	0.528105
KCNA5	0.648653	0.746173	0.971033
BHMT	0.520151	0.98749	0.508401
PLA2G2C	0.964975	0.955628	0.977785
SPTBN2	0.823491	0.964777	0.566536
IGKV2-30	0.91496	0.656546	0.982865
SERPINB5	0.213378	0.236707	0.95625
SERPINB7	0.522757	0.952143	0.742958
TRIM58	0.382678	0.65725	0.862063
ZNF252P-AS1	0.973802	0.956797	0.972076
GPR146	0.977291	0.959237	0.972163
SLC7A9	0.95714	0.596346	0.663745
IGHV1-45	0.682811	0.998605	0.977561
IGHV1-46	0.156605	0.703942	0.508401
GLIPR2	0.995769	0.989552	0.969073
ACTN2	0.600859	0.779965	0.317161
LINC00634	0.995832	0.987137	0.963873
TMPRSS6	0.984896	0.985289	0.979883
SLC35F3	0.522757	0.465512	0.985292
FOXF1	0.548957	0.981846	0.938395
HAR1B	0.983654	0.967207	0.986878
INSL3	0.993434	0.96582	0.955093
RDM1	0.971244	0.990955	0.9545
INMT	0.767433	0.382975	0.952427
NPTX1	0.968598	0.989552	0.953261
PTCHD3P2	0.996539	0.964709	0.966041
GLDN	0.96217	0.989552	0.951027
GLDC	0.865215	0.961581	0.617624
QPCT	0.520151	0.489603	0.98016
GRK5	0.089245	0.74834	0.270592
RN7SL1	0.976443	0.998951	0.953919
RN7SL3	0.962724	0.966577	0.971919
CAPSL	0.91496	0.997218	0.938395
MYADML2	0.99952	0.984218	0.95279
HPCA	0.975529	0.95584	0.972618
IGSF10	0.333678	0.40983	0.950449
EFCC1	0.96217	0.989552	0.961851
RBBP8NL	0.98226	0.989552	0.999621
GPC3	0.767433	0.382975	0.952427
LOXHD1	0.989785	0.974943	0.955759
HMGB3	0.984698	0.993237	0.999116
EEF1A2	0.966981	0.954698	0.938395
CALY	0.973668	0.963007	0.981794
C5orf46	0.96217	0.951436	0.972618
TRIM9	0.225409	0.163526	0.966597
PAH	0.59605	0.955549	0.618793
LYPD3	0.953466	0.96381	0.953989
LYPD1	0.520151	0.971524	0.96014
FAT2	0.690963	0.788967	0.398154
AKR7A3	0.26205	0.076008	0.972618
CKMT1A	0.96217	0.989031	0.972618
CKMT1B	0.980755	0.959689	0.976746
BCL2L15	0.960823	0.96577	0.986826
BCL2L10	0.982116	0.960864	0.993994
IGHV1-3	0.985757	0.95333	0.965259
SLC38A3	0.971048	0.984422	0.956539
YBX2	0.520151	0.968984	0.962558
ERG	0.26205	0.74834	0.663745
FAM172BP	0.978838	0.960527	0.996618
IBSP	0.91496	0.966687	0.566805
SOSTDC1	0.973396	0.963037	0.993003
IGLL1	0.96217	0.989552	0.964995
IGLL5	0.970326	0.981846	0.952074
CEP55	0.425855	0.137885	0.972618
ATP10B	0.953416	0.594272	0.748716
CPXM1	0.263337	0.633344	0.058515
PLAC1	0.993061	0.989552	0.997898
PLAC4	0.977851	0.958128	0.960235
PLAC9	0.974799	0.980735	0.953234
DLX5	0.225767	0.56864	0.742958
DLX3	0.983072	0.983831	0.994475
IGHV3OR16-6	0.972892	0.97292	0.968486
IGHV3OR16-8	0.986782	0.314083	0.392187
FERMT1	0.425855	0.137885	0.972618
KLHDC8A	0.91496	0.489603	0.222079
DPYD-AS1	0.969994	0.97249	0.970136
RETN	0.976732	0.955905	0.987377
IGKV1D-8	0.989501	0.981846	0.508401
VWF	0.071912	0.548292	0.312868
CDH17	0.284425	0.603934	0.79453
B4GALNT4	0.59605	0.976487	0.926883
B4GALNT1	0.097205	0.975282	0.031669
B4GALNT2	0.59605	0.999899	0.618793
C1orf87	0.213378	0.989552	0.566805
KIFC1	0.991283	0.382975	0.566805
HS6ST2	0.981573	0.971296	0.980815
TAF7L	0.436868	0.46659	0.967901
GDPD4	0.425855	0.703942	0.955406
FCRL4	0.346848	0.966275	0.328148
FCRL5	0.600859	0.345737	0.899419
IGLV5-45	0.991731	0.981846	0.508401
IGLV5-48	0.95904	0.951883	0.972618
PNMA6A	0.993489	0.969113	0.965662
LRRC2	0.991261	0.255226	0.448101
MORN5	0.999796	0.993614	0.952562
SCUBE3	0.950069	0.967737	0.972618
SCUBE1	0.372033	0.656546	0.916835
RPSAP52	0.95213	0.978017	0.974003
RPSAP56	0.984601	0.951623	0.965913
PTHLH	0.992038	0.489603	0.972618
TPPP3	0.965674	0.986443	0.968966
GFRA3	0.963264	0.596346	0.663745
EPHA6	0.951876	0.481017	0.485006
COL9A1	0.956181	0.958592	0.966209
GLB1L3	0.682811	0.633344	0.955843
ARL9	0.970402	0.989552	0.989231
RRM2	0.96217	0.124453	0.409129
SRSF12	0.990968	0.986882	0.984628
IGKV3-11	0.991773	0.596346	0.663745
IGKV3-15	0.994823	0.966247	0.982314
Y_RNA	0.964042	0.99248	0.954581
SH2D4B	0.995646	0.351659	0.149229
LINC00525	0.986325	0.991622	0.953945
TICRR	0.963445	0.99658	0.967765
SLC4A1	0.643725	0.964921	0.677271
KNTC1	0.144836	0.603934	0.500415
IGSF9	0.982744	0.99273	0.972618
IGSF1	0.633944	0.696395	0.96934
FGR	0.967539	0.489603	0.972618
